11:59:37 | LOCK_ACQUIRED | sim=0.54
11:59:39 | MOVE_LEFT | nose_x=0.42
11:59:40 | LOCK_LOST | Target disappeared
11:59:41 | LOCK_ACQUIRED | sim=0.46
11:59:41 | MOVE_LEFT | nose_x=0.42
11:59:42 | MOVE_LEFT | nose_x=0.32
11:59:43 | MOVE_LEFT | nose_x=0.34
11:59:44 | BLINK | EAR=0.09
11:59:44 | MOVE_LEFT | nose_x=0.34
11:59:45 | MOVE_LEFT | nose_x=0.31
11:59:46 | MOVE_LEFT | nose_x=0.33
11:59:47 | MOVE_LEFT | nose_x=0.23
11:59:49 | LOCK_LOST | Target disappeared
11:59:49 | LOCK_ACQUIRED | sim=0.40
11:59:49 | MOVE_LEFT | nose_x=0.31
11:59:50 | MOVE_LEFT | nose_x=0.19
11:59:51 | MOVE_LEFT | nose_x=0.30
11:59:53 | MOVE_LEFT | nose_x=0.50
11:59:54 | MOVE_LEFT | nose_x=0.46
11:59:55 | LOCK_LOST | Target disappeared
11:59:56 | LOCK_ACQUIRED | sim=0.42
11:59:56 | MOVE_LEFT | nose_x=0.40
11:59:57 | LOCK_LOST | Target disappeared
12:00:03 | LOCK_ACQUIRED | sim=0.52
12:00:03 | MOVE_LEFT | nose_x=0.13
12:00:04 | MOVE_LEFT | nose_x=0.33
12:00:05 | LOCK_LOST | Target disappeared
12:00:06 | LOCK_ACQUIRED | sim=0.44
12:00:06 | MOVE_RIGHT | nose_x=0.62
12:00:07 | MOVE_RIGHT | nose_x=0.73
12:00:08 | MOVE_RIGHT | nose_x=0.66
12:00:09 | MOVE_LEFT | nose_x=0.46
12:00:10 | BLINK | EAR=0.13
12:00:10 | MOVE_LEFT | nose_x=0.41
12:00:11 | MOVE_RIGHT | nose_x=0.61
12:00:11 | BLINK | EAR=0.16
12:00:11 | MOVE_RIGHT | nose_x=0.65
12:00:12 | MOVE_RIGHT | nose_x=0.67
12:00:13 | MOVE_LEFT | nose_x=0.47
12:00:14 | MOVE_LEFT | nose_x=0.42
12:00:15 | MOVE_RIGHT | nose_x=0.60
12:00:19 | MOVE_LEFT | nose_x=0.50
12:00:20 | BLINK | EAR=0.07
12:00:22 | MOVE_LEFT | nose_x=0.50
12:00:23 | MOVE_RIGHT | nose_x=0.61
12:00:24 | MOVE_RIGHT | nose_x=0.85
12:00:26 | MOVE_LEFT | nose_x=0.47
12:00:27 | MOVE_LEFT | nose_x=0.36
12:00:28 | MOVE_RIGHT | nose_x=0.62
12:00:29 | MOVE_RIGHT | nose_x=0.62
12:00:33 | MOVE_RIGHT | nose_x=0.61
12:00:34 | MOVE_RIGHT | nose_x=0.63
12:00:35 | MOVE_RIGHT | nose_x=0.62
12:00:36 | MOVE_RIGHT | nose_x=0.63
12:00:37 | MOVE_RIGHT | nose_x=0.67
12:00:38 | MOVE_LEFT | nose_x=0.50
12:00:39 | MOVE_LEFT | nose_x=0.47
12:00:40 | MOVE_LEFT | nose_x=0.47
12:00:41 | BLINK | EAR=0.20
12:00:41 | MOVE_LEFT | nose_x=0.47
12:00:42 | MOVE_LEFT | nose_x=0.44
12:00:43 | MOVE_RIGHT | nose_x=0.62
12:00:44 | MOVE_LEFT | nose_x=0.49
12:00:45 | MOVE_LEFT | nose_x=0.33
12:00:47 | MOVE_LEFT | nose_x=0.50
